publication_id,keyword_id,score,pub_id,kw_id
478671,1463,0.567477,p478671,k1463
478671,1528,0.612894,p478671,k1528
478671,1675,0.378034,p478671,k1675
478671,2953,0.257517,p478671,k2953
478671,3262,0.383646,p478671,k3262
478671,17095,0.278955,p478671,k17095
493721,214,0.247802,p493721,k214
493721,2540,0.230649,p493721,k2540
493721,2680,0.436017,p493721,k2680
493721,7227,0.247599,p493721,k7227
493721,24852,0.465883,p493721,k24852
493721,31676,0.29386,p493721,k31676
493721,53475,0.388956,p493721,k53475
493721,60259,0.160356,p493721,k60259
493721,63978,0.203971,p493721,k63978
506101,976,0.506029,p506101,k976
506101,1197,0.525913,p506101,k1197
506101,4627,0.328813,p506101,k4627
506101,6362,0.0629306,p506101,k6362
506101,6491,0.319547,p506101,k6491
506101,9704,0.306349,p506101,k9704
506101,38925,0.324692,p506101,k38925
506101,57560,0.329564,p506101,k57560
506101,78512,0.223629,p506101,k78512
516995,141,0.271729,p516995,k141
516995,304,0.119089,p516995,k304
516995,1684,0.0633131,p516995,k1684
516995,2838,0.205741,p516995,k2838
516995,3666,0.12749,p516995,k3666
516995,4601,0.204333,p516995,k4601
516995,11398,0.384146,p516995,k11398
516995,25066,0.258478,p516995,k25066
516995,46859,0.319597,p516995,k46859
518119,879,0.00657458,p518119,k879
518119,1219,0.260364,p518119,k1219
518119,1906,0.393021,p518119,k1906
518119,1947,0.352577,p518119,k1947
518119,2316,0.398992,p518119,k2316
518119,5760,0.414439,p518119,k5760
518119,11079,0.292752,p518119,k11079
518119,15411,0.352497,p518119,k15411
518119,27470,0.00483871,p518119,k27470
520826,671,0.341037,p520826,k671
520826,1346,0.209038,p520826,k1346
520826,1849,0.0063856,p520826,k1849
520826,5055,0.268533,p520826,k5055
520826,10186,0.303363,p520826,k10186
520826,11740,0.258126,p520826,k11740
520826,21375,0.395834,p520826,k21375
520826,21547,0.281102,p520826,k21547
520826,49651,0.268892,p520826,k49651
554285,263,0.00126195,p554285,k263
554285,1937,0.00461403,p554285,k1937
554285,3788,0.00707684,p554285,k3788
554285,7060,0.00740367,p554285,k7060
554285,7165,0.00112913,p554285,k7165
554285,11010,0.0131567,p554285,k11010
554285,24828,0.00136173,p554285,k24828
554285,43134,0.00744519,p554285,k43134
554285,61744,0.00106319,p554285,k61744
556334,44,0.269989,p556334,k44
556334,2850,0.345331,p556334,k2850
556334,4008,0.584701,p556334,k4008
556334,4725,0.287361,p556334,k4725
556334,8991,0.172288,p556334,k8991
556334,12401,0.299719,p556334,k12401
556334,18379,0.298347,p556334,k18379
556334,22384,0.209848,p556334,k22384
556334,75271,0.582117,p556334,k75271
592020,1502,0.290504,p592020,k1502
592020,2589,0.004917,p592020,k2589
592020,9381,0.00795096,p592020,k9381
592020,24625,0.228687,p592020,k24625
592020,24718,0.39647,p592020,k24718
592020,43794,0.311832,p592020,k43794
592020,46042,0.34797,p592020,k46042
592020,78071,0.369457,p592020,k78071
592020,78323,0.54554,p592020,k78323
606208,80,0.437827,p606208,k80
606208,594,0.0029801,p606208,k594
606208,1726,0.209045,p606208,k1726
606208,3560,0.158483,p606208,k3560
606208,6481,0.0764917,p606208,k6481
606208,10199,0.247317,p606208,k10199
606208,11923,0.285345,p606208,k11923
606208,21214,0.211299,p606208,k21214
606208,23888,0.00299419,p606208,k23888
631426,26,0.282033,p631426,k26
631426,2266,0.337568,p631426,k2266
631426,2295,0.0828456,p631426,k2295
631426,7652,0.083496,p631426,k7652
631426,13553,0.12561,p631426,k13553
631426,14058,0.274543,p631426,k14058
631426,18505,0.00660411,p631426,k18505
631426,37328,0.00847114,p631426,k37328
631426,38456,0.0706486,p631426,k38456
634705,525,0.399692,p634705,k525
634705,2200,0.163149,p634705,k2200
634705,2358,0.146807,p634705,k2358
634705,2767,0.207967,p634705,k2767
634705,7729,0.242757,p634705,k7729
634705,28338,0.23428,p634705,k28338
634705,33254,0.319571,p634705,k33254
634705,35153,0.198344,p634705,k35153
